time,prey,predator
0.0,5.0,3.0
0.2222222222222222,3.820709690007998,3.28446437547353
0.4444444444444444,2.9861502607484427,2.848162479116294
0.6666666666666666,2.6652847798927444,2.1754208281180767
0.8888888888888888,2.7363714118334492,1.6198610900379178
1.1111111111111112,3.1078470381468972,1.2683731518289052
1.3333333333333333,3.7339763223115208,1.1104323164357528
1.5555555555555556,4.550722494631779,1.1433093680336583
1.7777777777777777,5.367423996182274,1.419475696551012
2.0,5.742661421407069,2.032989352729552
